 0:07:55.000 -51.11 -51.11 -51.10  0:07:50.000* 2295
 0:08:00.000 -51.11 -51.11 -51.10  0:07:55.000* 2295
 0:08:05.000 -51.11 -51.11 -51.10  0:08:00.000* 2295
 0:08:11.000 -51.11 -51.11 -51.10  0:08:05.000* 2295
 0:08:16.000 -51.11 -51.11 -51.10  0:08:11.000* 2295
 0:08:21.000 -51.11 -51.11 -51.10  0:08:16.000* 2295
 0:08:27.000 -51.11 -51.11 -51.10  0:08:21.000* 2295
 0:08:32.000 -51.11 -51.11 -51.10  0:08:27.000* 2295
 0:08:38.000 -51.11 -51.11 -51.10  0:08:32.000* 2295
 0:08:43.000 -51.11 -51.11 -51.10  0:08:38.000* 2295
 0:08:49.000 -51.11 -51.11 -51.10  0:08:43.000* 2295
 0:08:54.000 -51.11 -50.65 -51.10  0:08:49.000* 2295
 0:08:59.000 -51.11 -51.11 -51.10  0:08:54.000* 2295
 0:09:05.000 -51.11 -51.11 -51.10  0:08:59.000* 2295
 0:09:10.000 -51.11 -51.11 -51.10  0:09:05.000* 2295
 0:09:16.000 -51.11 -50.65 -51.10  0:09:10.000* 2295
 0:09:20.000 -51.11 -50.65 -51.10  0:09:16.000* 2295
 0:09:26.000 -51.11 -51.11 -51.10  0:09:20.000* 2295
 0:09:31.000 -51.11 -51.11 -51.10  0:09:26.000* 2295
 0:09:35.000 -51.11 -51.11 -51.10  0:09:31.000* 2295
 0:09:41.000 -51.11 -51.11 -51.10  0:09:35.000* 2295
 0:09:46.000 -51.11 -51.11 -51.10  0:09:41.000* 2295
 0:09:52.000 -51.11 -51.11 -51.10  0:09:46.000* 2295
 0:09:57.000 -51.11 -51.11 -51.10  0:09:52.000* 2295
 0:10:03.000 -51.11 -51.11 -51.10  0:09:57.000* 2295
 0:10:08.000 -51.11 -51.11 -51.10  0:10:03.000* 2295
 0:10:13.000 -51.11 -51.11 -51.10  0:10:08.000* 2295
 0:10:19.000 -51.11 -51.11 -51.10  0:10:13.000* 2295
 0:10:24.000 -51.11 -50.65 -51.10  0:10:19.000* 2295
 0:10:30.000 -51.11 -51.11 -51.10  0:10:24.000* 2295
 0:10:35.000 -51.11 -50.65 -51.10  0:10:30.000* 2295
 0:10:40.000 -51.11 -51.11 -51.10  0:10:35.000* 2295
 0:10:45.000 -51.11 -51.11 -51.10  0:10:40.000* 2295
 0:10:50.000 -51.11 -51.11 -51.10  0:10:45.000* 2295
 0:10:56.000 -51.11 -51.11 -51.10  0:10:50.000* 2295
 0:11:01.000 -51.11 -51.11 -50.65  0:10:56.000* 2295
 0:11:07.000 -50.65 -51.11 -51.10  0:11:01.000* 2295
 0:11:12.000 -51.11 -51.11 -51.10  0:11:07.000* 2295
 0:11:18.000 -51.11 -50.65 -51.10  0:11:12.000* 2295
 0:11:23.000 -51.11 -50.65 -51.10  0:11:18.000* 2295
 0:11:28.000 -51.11 -51.11 -51.10  0:11:23.000* 2295
 0:11:34.000 -51.11 -51.11 -51.10  0:11:28.000* 2295
 0:11:39.000 -51.11 -51.11 -51.10  0:11:34.000* 2295
 0:11:45.000 -51.11 -51.11 -51.10  0:11:39.000* 2295
 0:11:50.000 -51.11 -51.11 -51.10  0:11:45.000* 2295
 0:11:55.000 -51.11 -51.11 -51.10  0:11:50.000* 2295
 0:12:00.000 -51.11 -51.11 -51.10  0:11:55.000* 2295
 0:12:05.000 -51.11 -51.11 -51.10  0:12:00.000* 2295
 0:12:11.000 -51.11 -51.11 -51.10  0:12:05.000* 2295
 0:12:16.000 -51.11 -51.11 -51.10  0:12:11.000* 2295
 0:12:22.000 -51.11 -51.11 -51.10  0:12:16.000* 2295
 0:12:27.000 -51.11 -51.11 -51.10  0:12:22.000* 2295
 0:12:33.000 -51.11 -51.11 -51.10  0:12:27.000* 2295
 0:12:38.000 -51.11 -51.11 -51.10  0:12:33.000* 2295
 0:12:43.000 -51.11 -51.11 -51.10  0:12:38.000* 2295
 0:12:49.000 -51.11 -51.11 -51.10  0:12:43.000* 2295
 0:12:54.000 -51.11 -51.11 -51.10  0:12:49.000* 2295
 0:13:00.000 -51.11 -50.65 -51.10  0:12:54.000* 2295
 0:13:05.000 -51.11 -51.11 -51.10  0:13:00.000* 2295
 0:13:11.000 -51.11 -51.11 -51.10  0:13:05.000* 2295
 0:13:15.000 -51.11 -51.11 -51.10  0:13:11.000* 2295
 0:13:20.000 -51.11 -51.11 -51.10  0:13:15.000* 2295
 0:13:26.000 -51.11 -51.11 -51.10  0:13:20.000* 2295
 0:13:31.000 -51.11 -51.11 -51.10  0:13:26.000* 2295
 0:13:37.000 -51.11 -51.11 -51.10  0:13:31.000* 2295
 0:13:42.000 -51.11 -51.11 -51.10  0:13:37.000* 2295
 0:13:48.000 -51.11 -51.11 -51.10  0:13:42.000* 2295
 0:13:53.000 -51.11 -51.11 -51.10  0:13:48.000* 2295
 0:13:58.000 -51.11 -51.11 -51.10  0:13:53.000* 2295
 0:14:04.000 -51.11 -51.11 -51.10  0:13:58.000* 2295
 0:14:09.000 -51.11 -51.11 -51.10  0:14:04.000* 2295
 0:14:15.000 -51.11 -51.11 -51.10  0:14:09.000* 2295
 0:14:20.000 -51.11 -51.11 -51.10  0:14:15.000* 2295
 0:14:26.000 -51.11 -51.11 -51.10  0:14:20.000* 2295
 0:14:31.000 -51.11 -51.11 -51.10  0:14:26.000* 2295
 0:14:35.000 -51.11 -51.11 -51.10  0:14:31.000* 2295
 0:14:41.000 -51.11 -51.11 -51.10  0:14:35.000* 2295
 0:14:46.000 -51.11 -51.11 -51.10  0:14:41.000* 2295
 0:14:52.000 -51.11 -50.65 -51.10  0:14:46.000* 2295
 0:14:57.000 -51.11 -51.11 -51.10  0:14:52.000* 2295
 0:15:03.000 -51.11 -50.65 -51.10  0:14:57.000* 2295
 0:15:08.000 -51.11 -51.11 -51.10  0:15:03.000* 2295
 0:15:13.000 -51.11 -51.11 -51.10  0:15:08.000* 2295
 0:15:19.000 -51.11 -51.11 -51.10  0:15:13.000* 2295
 0:15:24.000 -51.11 -51.11 -51.10  0:15:19.000* 2295
 0:15:30.000 -51.11 -51.11 -51.10  0:15:24.000* 2295
 0:15:35.000 -51.11 -51.11 -51.10  0:15:30.000* 2295
 0:15:41.000 -51.11 -51.11 -51.10  0:15:35.000* 2295
 0:15:46.000 -51.11 -51.11 -51.10  0:15:41.000* 2295
 0:15:51.000 -51.11 -51.11 -51.10  0:15:46.000* 2295
 0:15:56.000 -51.11 -51.11 -51.10  0:15:51.000* 2295
 0:16:01.000 -51.11 -51.11 -51.10  0:15:56.000* 2295
 0:16:07.000 -51.11 -51.11 -51.10  0:16:01.000* 2295
 0:16:12.000 -51.11 -51.11 -51.10  0:16:07.000* 2295
 0:16:18.000 -51.11 -51.11 -51.10  0:16:12.000* 2295
 0:16:23.000 -51.11 -51.11 -51.10  0:16:18.000* 2295
 0:16:29.000 -51.11 -51.11 -51.10  0:16:23.000* 2295
 0:16:34.000 -51.11 -51.11 -51.10  0:16:29.000* 2295
 0:16:39.000 -51.11 -51.11 -51.10  0:16:34.000* 2295
 0:16:45.000 -51.11 -51.11 -51.10  0:16:39.000* 2295
 0:16:50.000 -51.11 -51.11 -51.10  0:16:45.000* 2295
 0:16:56.000 -51.11 -51.11 -51.10  0:16:50.000* 2295
 0:17:01.000 -51.11 -51.11 -51.10  0:16:56.000* 2295
 0:17:07.000 -51.11 -51.11 -50.65  0:17:01.000* 2295
 0:17:12.000 -51.11 -51.11 -51.10  0:17:07.000* 2295
 0:17:16.000 -51.11 -51.11 -51.10  0:17:12.000* 2295
 0:17:22.000 -51.11 -51.11 -51.10  0:17:16.000* 2295
 0:17:27.000 -51.11 -51.11 -51.10  0:17:22.000* 2295
 0:17:31.000 -51.11 -51.11 -51.10 16:19:48.000* 2301
 0:17:33.000 -51.11 -51.11 -51.10  0:17:27.000* 2295
 0:17:38.000 -51.11 -51.11 -51.10  0:17:33.000* 2295
 0:17:44.000 -51.11 -50.65 -51.10  0:17:38.000* 2295
 0:17:49.000 -51.11 -50.65 -51.10  0:17:44.000* 2295
 0:17:53.000 -54.77 -50.65 -51.10  8:04:56.000* 2301
